idprojeto,id_pracao_marco,data,tipo_data,data_inclusao,usuario_inclusao,data_atualizacao,usuario_alteracao
2048,340,2023-10-30,di,2023-02-24 12:33:09,gabriel.g,2023-02-24 12:33:09,gabriel.g
2048,341,2023-12-20,di,2023-02-24 12:36:40,gabriel.g,2023-02-24 12:36:40,gabriel.g
2049,363,2023-04-30,di,2023-03-21 09:48:56,gabriel.g,2023-03-21 09:48:56,gabriel.g
2049,364,2023-06-15,di,2023-03-21 09:49:36,gabriel.g,2023-03-21 09:49:36,gabriel.g
2049,365,2023-06-30,di,2023-03-21 09:50:03,gabriel.g,2023-03-21 09:50:03,gabriel.g
2049,366,2023-06-30,di,2023-03-21 09:50:38,gabriel.g,2023-03-21 09:50:38,gabriel.g
2049,367,2023-08-16,di,2023-03-21 09:51:07,gabriel.g,2023-03-21 09:51:07,gabriel.g
2049,368,2023-08-31,di,2023-03-21 09:51:29,gabriel.g,2023-03-21 09:51:29,gabriel.g
2049,369,2023-05-31,di,2023-03-21 09:52:02,gabriel.g,2023-03-21 09:52:02,gabriel.g
2049,370,2023-10-16,di,2023-03-21 09:52:29,gabriel.g,2023-03-21 09:52:29,gabriel.g
2049,371,2023-10-31,di,2023-03-21 09:52:56,gabriel.g,2023-03-21 09:52:56,gabriel.g
2049,372,2023-07-20,di,2023-03-21 09:53:40,gabriel.g,2023-03-21 09:53:40,gabriel.g
2049,373,2023-08-21,di,2023-03-21 09:54:11,gabriel.g,2023-03-21 09:54:11,gabriel.g
2049,374,2023-08-31,di,2023-03-21 09:54:35,gabriel.g,2023-03-21 09:54:35,gabriel.g
2049,375,2023-04-30,di,2023-03-21 09:55:17,gabriel.g,2023-03-21 09:55:17,gabriel.g
2049,376,2023-06-15,di,2023-03-21 09:56:00,gabriel.g,2023-03-21 09:56:00,gabriel.g
2049,377,2023-06-30,di,2023-03-21 09:56:36,gabriel.g,2023-03-21 09:56:36,gabriel.g
2049,378,2023-12-15,di,2023-03-21 09:57:33,gabriel.g,2023-03-21 09:57:33,gabriel.g
