id,cnpj,idassociacao,porcento_mulheres,pagantes_servico,pagantes_comercio,pagantes_industria,pagantes_agro,pagantes_liberal,pagantes_mei,pagantes_outros,atividade_economica,area_comercial,vendedores_atuantes,certificado_origem,certificado_digital,servico_analise_credito,servico_intermediacao_estagio,servico_concessao_credito,carta_exclusividade,plano_saude,camara_mediacao,faculdade_comercio,aluguel_salas,conselho_comites,sede_associacao,condicao_sede,taxa_associativismo_min,taxa_associativismo_max,faturamento_produtos_servicos,faturamento_taxa_associativismo,data_atualizacao
17074,05495440000180,11735,de 0 a 25%,91,63,33,2,0,0,19,Indústria,Sim,de 1 a 3 vendedores,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,Da Mulher,Sede/Sala Alugada,"Prédio com a conservação em dia, possui escritório, auditório, banheiros, copa",2,179,até 25%,Não informado,2023-04-05 04:28:09.115562
17075,40701414000162,13095,de 0 a 25%,1000,1000,1000,1000,1000,1000,100,Comério e Serviço,Sim,acima de 7 vendedores,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Da Mulher,Sede/Sala Alugada,sala nova,1000,79,de 51 a 75%,de 51 a 75%,2023-04-05 04:28:09.127682
17076,23947054000164,3239,de 51 a 75%,,,,,,,,Outros,Não,Não há vendedor.,Não,Sim,Sim,Não,Não,Sim,Sim,Não,Não,Sim,Não tem,Sede Própria,Boas condições,,1212,de 76 a 100%,até 25%,2023-04-05 04:28:09.140748
17077,15231210000168,2593,de 0 a 25%,,,,,,,,Comério e Serviço,Não,Não há vendedor.,Sim,Sim,Não,Não,Não,Sim,Não,Sim,Não,Sim,Outros,Sede Própria,"O Palácio, em estilo neoclássico, Construído sob os alicerces do Forte de São Fernando, foi solenemente inaugurado em 28 de janeiro de 1817. O projeto foi do arquiteto português Cosme Damião da Cunha Fidié.
Ideal para eventos corporativos. O espaço possui área climatizada, três salas complementares, área do jardim, cozinha de apoio para buffet. Salão Nobre com capacidade para 200 pessoas, além de auditório com capacidade para 80 pessoas.",,1380,até 25%,de 51 a 75%,2023-04-05 04:28:09.152651
17078,95431979000169,11290,de 51 a 75%,,,,,,,,Indústria,Não,Não há vendedor.,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim,Da Mulher,Sede Própria,Predio com mais de 60 anos com 2 auditórios e salas de treinamento disponíveis ao associados. Salas para locação. Refeitorio próprio. Estacionamento próprio,,650,de 26 a 50%,de 26 a 50%,2023-04-05 04:28:09.165813
17079,83225920000135,2423,de 51 a 75%,,,,0,,,,Comério e Serviço,Sim,de 1 a 3 vendedores,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Da Mulher,Sede/Sala Alugada,"ESTAMOS EM UM ESPAÇO CEDIDO PELA PREFEITURA, ESPAÇO MUITO PEQUENO, NÃO TEMOS SALA RESERVADA, NEM DE REUNIÃO",0,115,de 26 a 50%,de 51 a 75%,2023-04-05 04:28:09.178494
17080,87974051000100,2040,de 26 a 50%,,,,,,,,Agronegócio,Não,Não há vendedor.,Sim,Sim,Não,Não,Sim,Não,Não,Não,Sim,Não,Outros,Sede Própria,"Prédio com área construída superior a 1000m², 3 salões de eventos, 02 cozinhas industriais, Sala de reuniões, Sala de locação externa.",,50,de 51 a 75%,até 25%,2023-04-05 04:28:09.192942
17081,08821618000124,13101,de 51 a 75%,,,,,,,,Agronegócio,Não,Não há vendedor.,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não tem,Não tem Sede (apenas estatuto),Não temos,,50,até 25%,até 25%,2023-04-05 04:28:09.210366
17082,05331380000160,10934,de 0 a 25%,,,,,,,,Agronegócio,Sim,de 1 a 3 vendedores,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Sim,Outros,Sede Própria,"NOVO, SALA DE REUNIÕES E AUDITÓRIO",,150,de 51 a 75%,até 25%,2023-04-05 04:28:09.222498
17083,94449527000141,2078,de 26 a 50%,,,,,,,,Comério e Serviço,Sim,de 1 a 3 vendedores,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Da Mulher,Sede Própria,Excelente sala,,95,de 76 a 100%,Não informado,2023-04-05 04:28:09.248589
