id,idempresa,origem
108510,56521,CEF
108511,56593,CEF
108512,56395,CEF
108513,56526,CEF
108514,56596,CEF
108515,56395,CEF
108516,56528,CEF
108517,56598,CEF
108518,35368,CEF
108519,56534,CEF
108520,56602,CEF
108521,56398,CEF
108522,56537,CEF
108523,56605,CEF
108524,56401,CEF
108525,56539,CEF
108526,56609,CEF
108527,56404,CEF
108528,56542,CEF
108529,56609,CEF
108530,56410,CEF
108531,56545,CEF
108532,56616,CEF
108533,56414,CEF
108534,56547,CEF
108535,56619,CEF
108536,56418,CEF
108537,56549,CEF
108538,56620,CEF
108539,56421,CEF
108540,56553,CEF
108541,56623,CEF
108542,56424,CEF
108543,56555,CEF
108544,56625,CEF
108545,56426,CEF
108546,56560,CEF
108547,56628,CEF
108548,56427,CEF
108549,56562,CEF
108550,56631,CEF
108551,56430,CEF
108552,56565,CEF
108553,56634,CEF
108554,56432,CEF
108555,56568,CEF
108556,56638,CEF
108557,56434,CEF
108558,56572,CEF
108559,56639,CEF
108560,56437,CEF
108561,56576,CEF
108562,32922,CEF
108563,56438,CEF
108564,32307,CEF
108565,56642,CEF
108566,56440,CEF
108567,56578,CEF
108568,56643,CEF
108569,56443,CEF
108570,56585,CEF
108571,56645,CEF
108572,56445,CEF
108573,56588,CEF
108574,56649,CEF
108575,56447,CEF
108576,56592,CEF
108577,56652,CEF
108578,56449,CEF
108579,56594,CEF
108580,31900,CEF
108581,56450,CEF
108582,56597,CEF
108583,56655,CEF
108584,56452,CEF
108585,56600,CEF
108586,56658,CEF
108587,56457,CEF
108588,56603,CEF
108589,56661,CEF
108590,56459,CEF
108591,56606,CEF
108592,56664,CEF
108593,56462,CEF
108594,56608,CEF
108595,56667,CEF
108596,56464,CEF
108597,56611,CEF
108598,56669,CEF
108599,56467,CEF
108600,56613,CEF
108601,56671,CEF
108602,56471,CEF
108603,55584,CEF
108604,56472,CEF
108605,56673,CEF
108606,56615,CEF
108607,56474,CEF
108608,56676,CEF
108609,56618,CEF
108610,56483,CEF
108611,56678,CEF
108612,56622,CEF
108613,56492,CEF
108614,56681,CEF
108615,56627,CEF
108616,56494,CEF
108617,56685,CEF
108618,56629,CEF
108619,56498,CEF
108620,56688,CEF
108621,56633,CEF
108622,56501,CEF
108623,56691,CEF
108624,56608,CEF
108625,56505,CEF
108626,56693,CEF
108627,56640,CEF
108628,56508,CEF
108629,56698,CEF
108630,56648,CEF
108631,56511,CEF
108632,56701,CEF
108633,56651,CEF
108634,56513,CEF
108635,56702,CEF
108636,56653,CEF
108637,56514,CEF
108638,56705,CEF
108639,56656,CEF
108640,56516,CEF
108641,56708,CEF
108642,56659,CEF
108643,56522,CEF
108644,56711,CEF
108645,56662,CEF
108646,56524,CEF
108647,56714,CEF
108648,56665,CEF
108649,56527,CEF
108650,56716,CEF
108651,56665,CEF
108652,56530,CEF
108653,56719,CEF
108654,56668,CEF
108655,56532,CEF
108656,56722,CEF
108657,56670,CEF
108658,56535,CEF
108659,56725,CEF
