idrecurso,nmrecurso,descricao,data_inclusao,usuario_inclusao,data_alteracao,usuario_alteracao,grupo,nome
123,atual_expressa,Permite o acesso à funcionalidade atualização expressa de lançamentos,2020-08-14 09:44:40,renato.rossi,2020-08-14 09:44:40,,Lançamentos,Atualização expressa
125,aca_anexo,Permite o acesso aos anexos de uma ação.,2020-09-14 11:24:18,gabriel.lima,2020-09-14 11:24:18,,Ações,Ação anexo
126,anota_proj,Permite listar e adicionar anotações a um projeto,2020-09-21 12:47:04,gabriel.lima,2021-02-24 11:21:53,renato.rossi,Projeto,Anotações de projetos
127,189_rec,"Permite acesso a tela de recursos do Projeto 189. Além do menu de quadros, dá acesso ao orçamento
Permite ainda a figuração na lista Transferências e Pagamentos (T & P)",2020-09-30 11:37:06,gabriel.lima,2021-08-18 11:28:23,renato.rossi,Lançamentos,Acesso recursos 189
160,189_inc,Permite a inclusão de lançamentos no Projeto 189,2020-09-30 11:37:06,gabriel.lima,2020-09-30 11:37:06,,Lançamentos,Adicionar lançamentos no 189
161,189_lib,Permite liberar lançamentos no Projeto 189,2020-09-30 11:37:06,gabriel.lima,2020-09-30 11:37:06,,Lançamentos,Liberar lançamentos no 189
162,2004_lib,Permite liberar lançamentos no Projeto 2004,2020-09-30 11:37:06,gabriel.lima,2020-09-30 11:37:06,,Lançamentos,Liberar lançamentos no 2004
163,189_apr,Permite aprovar lançamentos no Projeto 189,2020-09-30 11:37:06,gabriel.lima,2020-09-30 11:37:06,,Lançamentos,Aprovar lançamentos no 189
164,usu_edita_recurso_adicional,Permite a atribuição de recursos adicionais a um usuário,2020-10-09 09:47:28,renato.rossi,2020-10-15 17:09:13,renato.rossi,Usuario,Atribuir direitos adicionais a usuários
165,login_edita,Permite editar o login do Usuário - não deve ser usado em função das consequências sobre o arquivo de auditoria.,2020-10-14 12:36:55,gabriel.lima,2021-02-09 11:52:11,renato.rossi,Usuário,Editar Login do Usuário
166,perfil_edita,Permite editar o perfil do Usuário,2020-10-14 12:37:50,gabriel.lima,2020-10-14 12:37:50,,Usuário,Editar Perfil do Usuário
167,cpf_edita,Permite editar o cpf do Usuário,2020-10-14 12:38:22,gabriel.lima,2020-10-14 12:38:22,,Usuário,Editar Cpf do Usuário
168,status_usu_edita,Permite o alterar o status do Usuário - SEM USO NO CÓDIGO,2020-10-14 12:38:43,gabriel.lima,2021-02-09 12:00:40,renato.rossi,Usuário,Alterar status do Usuário
169,acompa_fin,Permite o acesso ao menu de Acompanhamento Fincanceiro,2020-10-14 12:39:20,gabriel.lima,2020-10-14 12:39:20,,Projetos,Acesso Acompanhamento Fincanceiro
170,painel_gest_fin,Permite o acesso ao painel de Gestão Fincanceira,2020-10-14 12:41:40,gabriel.lima,2020-10-14 12:41:40,,Projetos,Acesso ao Painel de Gestão Fincanceira
171,paineis_zoho,Permite acesso aos paineis do Zoho na Tela Inicial,2020-10-14 12:42:08,gabriel.lima,2020-10-14 12:42:08,,Projetos,Acesso aos paineis do Zoho
172,painel_prestcontas,Permite acesso ao painel do Prestecontas na tela de recursos de Projeto,2020-10-14 12:44:09,gabriel.lima,2021-02-16 16:25:21,renato.rossi,Projetos,Acesso ao painel do Prestecontas
173,painel_encerramento,Permite acesso ao painel de Encerramento do Projeto na tela de recursos de Projeto,2020-10-14 12:45:13,gabriel.lima,2020-10-14 12:45:13,,Projetos,Acesso ao painel de encerramento do Projeto
174,painel_entidades_origens,Permite acesso a todas as origens do Painel de Entidades,2020-10-14 12:46:04,gabriel.lima,2022-01-13 08:47:18,renato.rossi,Projetos,Acesso ao painel de EPs
175,painel_projetos_sit,Permite acesso a todos os projetos do Painel de Situação de Projetos,2020-10-14 12:48:43,gabriel.lima,2020-10-14 12:48:43,,Projetos,Acesso a todos os projetos do painel de situação dos projetos
176,pro_anexo_edit,Permite editar o status do anexo,2020-10-14 12:49:23,gabriel.lima,2020-10-14 12:49:23,,Projetos,Editar status do Anexo Projeto
177,usu_direitos,Permite visualizar os direitos do usuário na tela de detalhe de usuário,2020-10-14 12:49:52,gabriel.lima,2020-10-14 12:49:52,,Usuário,Visualizar direitos do usuário
178,lista_anota,Permite consultar a lista de Anotações,2020-10-14 12:50:29,gabriel.lima,2020-10-14 12:50:29,,Anotações,Consulta lista de Anotações
179,pen_adici,Permite ao usuário a criação de pendências,2020-10-16 10:19:17,renato.rossi,2020-10-16 10:19:17,,Pendências,Adição de pendências em projetos
180,pen_consul,Permite o acesso à lista de pendências,2020-10-16 10:26:20,renato.rossi,2020-10-16 10:26:20,,Pendências,Consulta a pendências
181,pen_edit,"Permite a edição de pendências, incluindo sua liberação assim como do bloqueio",2020-10-16 10:30:41,renato.rossi,2020-10-16 10:30:41,,Pendências,Edição de pendências
183,cad_noticia,Permite o acesso à funcionalidade ADM_Utils/cadastrar notícias e ao botão Marcar Novidade em Aviso aos navegantes,2020-11-12 06:31:55,renato.rossi,2021-02-19 09:21:52,renato.rossi,ADM,Cadastrar notícias
184,tabela_ccs,Permite a atualização da tabela de centros de custo,2020-12-07 09:26:59,renato.rossi,2021-02-19 09:21:23,renato.rossi,ADM Tabelas,Atualização de centros de custo
185,anexo_lancamento,Permite o acesso a lista de arquivos dos lançamentos.,2021-01-11 12:37:28,gabriel.lima,2021-01-19 10:11:23,renato.rossi,Lançamentos,Lista de arquivos anexos a lançamentos
186,adm_direitos,Concede direito a acessar a área de direitos do portal,2021-01-13 15:21:13,gabriel.lima,2021-02-19 09:21:39,renato.rossi,ADM,Acesso ADM Direitos
187,grupo_geral,Permite a criação e edição de grupos,2021-02-11 17:42:28,renato.rossi,2021-02-11 17:42:28,,Grupos,Criação de grupos - uso geral
188,sem_efeito,Recurso criado apenas para viabilizar a criação do perfil Base - sem direitos,2021-02-18 17:44:42,renato.rossi,2021-02-18 17:44:42,,A definir,Sem efeito
189,nuc_msg,"Permite o envio de mensagens para nucleados, a partir do núcleo selecionado.",2021-02-26 01:56:29,emanoel,2021-11-24 12:14:40,renato.rossi,Núcleos,Envio de mensagem para nucleados
190,ajuste_dados,Permite o ajuste de dados em casos excepcionais.,2021-03-24 13:05:43,emanoel,2021-03-24 13:05:43,,A definir,Ajuste de dados
191,doc_consul,Permite visualizar listagem de documentos,2021-03-15 08:35:10,emanoel,2021-03-15 08:35:10,,Documentos,Consulta de documentos
192,doc_adici,Permite adicionar novos documentos.,2021-03-15 08:36:17,emanoel,2021-04-21 11:35:00,renato.rossi,Documentos,Adicionar documento publicado
194,doc_pde_equipe,Dá acesso aos documentos internos do PDE,2021-03-24 14:21:30,renato.rossi,2021-03-24 14:21:30,,Documentos,Documentos internos - equipe PDE
195,doc_int_empreender,Dá acesso às normas internas e outros documentos com acesso privativo da Equipe Empreender,2021-03-24 14:45:21,renato.rossi,2021-03-24 14:45:21,,Documentos,Documentos internos - Empreender
197,carrossel_adi_edit,Adição de itens em carrossel.,2021-04-13 11:15:48,emanoel,2021-04-13 17:19:06,renato.rossi,Comunicação,Adição de itens em carrossel.
198,doc_livre,Permite a visualização de um documento independentemente da identificação no portal. Na prática permite a distribuição de documentos a não usuários do portal,2021-05-27 11:38:39,renato.rossi,2021-05-27 11:38:39,,Documentos,Documentos -  livre acesso
199,fofa_permi,Permite o acesso às Análises FOFAs feitas para núcleos,2021-06-02 18:01:44,gabriel.lima,2021-12-03 11:38:05,renato.rossi,Núcleos,Acesso a Análises Fofa
