idprojeto,idnucleo,data_inclusao,usuario_inclusao,data_atualizacao,usuario_alteracao
85,20759,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
85,22229,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
86,22193,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
86,23060,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
87,22107,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
87,22230,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
88,22132,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
88,22216,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
92,21658,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
92,22248,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
93,21428,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
93,22247,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
94,21305,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
94,22226,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
95,20497,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
95,22215,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
96,20456,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
96,22194,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
97,21345,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
97,22228,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
98,20387,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
98,22250,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
99,14054,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
99,22249,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
100,1,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
100,20353,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
101,20654,2018-05-07 10:24:36,gladson.lima,2018-05-07 10:24:36,gladson.lima
101,22117,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
102,22522,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
