idcidade,idbairro,nmbairro,flincluido
988,699,FEDERACAO, 
988,700,FONTE NOVA, 
988,703,GARCIA, 
988,705,GRACA, 
988,706,GRANJAS RURAIS PRESIDENTE VARGAS, 
988,709,IAPI, 
988,711,ILHA AMARELA, 
988,712,IMBUI, 
988,713,ITACARANHA, 
988,714,ITAIGARA, 
988,716,ITAPUA, 
988,717,JAGUARIBE, 
988,720,JARDIM APIPEMA, 
988,721,JARDIM CAJAZEIRA, 
988,724,JARDIM NOVA ESPERANCA, 
988,725,SANTA MONICA, 
988,728,LARGO DO TANQUE, 
988,729,LIBERDADE, 
988,730,LOBATO, 
988,731,LUIS ANSELMO, 
988,732,MACAUBAS, 
988,735,MARECHAL RONDON, 
988,736,MARES, 
988,737,MASSARANDUBA, 
988,739,MATA ESCURA, 
988,740,MATATU, 
988,741,MONTE SERRAT, 
988,742,MUSSURUNGA I, 
988,743,NAZARE, 
988,744,NORDESTE, 
988,745,NOVA BRASILIA DE ITAPUA, 
988,746,NOVO MAROTINHO, 
988,747,ONDINA, 
988,748,PALESTINA, 
988,749,PARALELA, 
988,750,PARIPE, 
988,752,PATAMARES, 
988,753,PAU DA LIMA, 
988,754,PAU MIUDO, 
988,755,BAIRRO DA PAZ, 
988,756,PELOURINHO, 
988,757,PERIPERI, 
988,758,PERNAMBUES, 
988,759,PERO VAZ, 
988,760,PIATA, 
988,762,PIRAJA, 
988,764,PITUACU, 
988,765,PITUBA, 
988,766,JARDIM PLACAFORD, 
988,767,PLATAFORMA, 
988,768,POLITEAMA, 
988,769,PORTO SECO PIRAJA, 
988,770,PRAIA DO FLAMENGO, 
988,771,PRAIA GRANDE, 
988,773,BAIXA DE QUINTAS, 
988,775,RIBEIRA, 
988,776,RIO SENA, 
988,777,RIO VERMELHO, 
988,778,ROMA, 
988,779,SABOEIRO, 
988,781,SANTA CRUZ, 
988,783,SANTO AGOSTINHO, 
988,784,SANTO ANTONIO, 
988,785,SAO CAETANO, 
988,786,SAO CRISTOVAO, 
988,788,SAO GONCALO, 
988,790,SAO MARCOS, 
988,792,SAO TOME DE PARIPE, 
988,794,SAUDE, 
988,796,SETE DE ABRIL, 
988,799,STELLA MARIS, 
988,800,STIEP, 
988,801,SUSSUARANA, 
988,803,TANCREDO NEVES, 
988,805,TORORO, 
988,806,TROBOGY, 
988,807,URUGUAI, 
988,808,VALE DAS PEDRINHAS, 
988,811,VALERIA, 
988,812,VASCO DA GAMA, 
988,814,VILA CANARIA, 
988,815,VILA LAURA, 
988,817,VILA RUI BARBOSA, 
988,818,VITORIA, 
1006,819,AMPARO, 
1006,820,ANDAIA, 
1006,821,CAJUEIRO, 
1006,822,CENTRO, 
1006,823,ERNESTO MELO, 
1006,824,JARDIM BRASIL, 
1006,825,JARDIM DAS ARVORES, 
1006,826,MARIA PRETA, 
1006,827,NOSSA SENHORA DAS GRACAS, 
1006,828,SANTA RITA, 
1006,829,SANTA TEREZINHA, 
1006,830,SAO BENEDITO, 
1006,831,SAO PAULO, 
1006,832,SOBRADINHO, 
1006,833,URBIS II, 
343,834,ALAGOAS, 
343,835,ARCO VERDE, 
343,836,BELA VISTA, 
343,837,BELA VISTA II, 
343,838,BOM JESUS, 
343,839,CASTELINHO, 
343,840,CENTRO, 
343,841,COLINA VERDE, 
343,842,DOM FELIPE, 
343,843,IPIRANGA, 
343,844,JARDIM CARAIPE, 
343,846,JARDIM EUROPA, 
343,847,JARDIM LIBERDADE, 
343,848,LIBERDADE, 
343,849,MONTE CASTELO, 
343,850,NOVA AMERICA, 
343,851,NOVA JERUSALEM, 
343,852,NOVA TEIXEIRA, 
343,853,NOVO HORIZONTE, 
343,854,RECANTO DO LAGO, 
343,855,SANTA RITA, 
343,856,SANTA ROSA DE LIMA, 
343,857,SAO JOSE, 
343,858,SAO LOURENCO, 
343,859,SAO PEDRO, 
343,860,TANCREDO NEVES, 
343,861,TEIXEIRINHA, 
343,862,TREVO, 
