idprojeto,data,tipo_data,data_inclusao,usuario_inclusao,data_atualizacao,usuario_alteracao
570,2010-01-01,in,2022-06-28 14:04:44,Mluiza,2022-06-28 14:04:44,Mluiza
570,2012-07-01,fn,2022-06-28 14:04:45,Mluiza,2022-06-28 14:04:45,Mluiza
571,2010-01-01,in,2022-07-21 08:50:21,Mluiza,2022-07-21 08:50:21,Mluiza
571,2012-07-01,fn,2022-07-21 08:50:21,Mluiza,2022-07-21 08:50:21,Mluiza
572,2010-01-01,in,2022-07-21 08:52:38,Mluiza,2022-07-21 08:52:38,Mluiza
572,2012-07-01,fn,2022-07-21 08:52:38,Mluiza,2022-07-21 08:52:38,Mluiza
573,2010-01-01,in,2022-07-11 09:47:20,Mluiza,2022-07-11 09:47:20,Mluiza
573,2012-07-01,fn,2022-07-11 09:47:20,Mluiza,2022-07-11 09:47:20,Mluiza
574,2010-01-01,in,2022-07-11 09:48:48,Mluiza,2022-07-11 09:48:48,Mluiza
574,2012-07-01,fn,2022-07-11 09:48:48,Mluiza,2022-07-11 09:48:48,Mluiza
575,2010-01-01,in,2022-06-28 13:54:33,Mluiza,2022-06-28 13:54:33,Mluiza
575,2012-07-01,fn,2022-06-28 13:54:33,Mluiza,2022-06-28 13:54:33,Mluiza
576,2010-01-01,in,2022-07-21 08:49:20,Mluiza,2022-07-21 08:49:20,Mluiza
576,2012-07-01,fn,2022-07-21 08:49:20,Mluiza,2022-07-21 08:49:20,Mluiza
577,2010-01-01,in,2022-07-15 09:11:59,Mluiza,2022-07-15 09:11:59,Mluiza
577,2012-07-01,fn,2022-07-15 09:11:59,Mluiza,2022-07-15 09:11:59,Mluiza
578,2010-01-01,in,2022-07-15 09:11:01,Mluiza,2022-07-15 09:11:01,Mluiza
578,2012-07-01,fn,2022-07-15 09:11:01,Mluiza,2022-07-15 09:11:01,Mluiza
579,2010-01-01,in,2022-07-11 09:14:16,Mluiza,2022-07-11 09:14:16,Mluiza
579,2012-07-01,fn,2022-07-11 09:14:16,Mluiza,2022-07-11 09:14:16,Mluiza
580,2010-01-01,in,2022-08-08 09:09:47,Mluiza,2022-08-08 09:09:47,Mluiza
580,2012-07-01,fn,2022-08-08 09:09:47,Mluiza,2022-08-08 09:09:47,Mluiza
581,2010-01-01,in,2022-06-28 13:47:48,Mluiza,2022-06-28 13:47:48,Mluiza
