identidadeprop,idtipoentidade,identidade,nmchamada,nmconvenio,idbanco,dsagencia,dsconta,nmentidade,nuoperacao,idcidade,flativo,sigla,conta_tipo,pix_tipo,pix_chave,idprojeto
154,ass,11786,2017/01,26,104,84,xxxx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DE MINAS GERAIS - FEDERAMINAS,,2754,S,FEDERAMINAS,Corrente,,,2014
155,ass,11786,2017/01,26,104,84,xxxx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DE MINAS GERAIS - FEDERAMINAS,,2754,S,FEDERAMINAS,Corrente,,,2015
156,ass,11779,2017/01,26,1  ,yyyy,xxxx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS DO ESTADO DE SÃO PAULO - FACESP,,9668,S,FACESP,Corrente,,,1166
157,ass,11779,2017/01,26,1  ,yyyy,xxxx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS DO ESTADO DE SÃO PAULO - FACESP,,9668,S,FACESP,Corrente,,,1170
158,ass,11779,2017/01,26,1  ,yyyy,xxxx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS DO ESTADO DE SÃO PAULO - FACESP,,9668,S,FACESP,Corrente,,,1171
159,ass,11779,2017/01,26,1  ,yyyy,xxxx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS DO ESTADO DE SÃO PAULO - FACESP,,9668,S,FACESP,Corrente,,,1172
160,ass,11779,2017/01,26,1  ,yyyy,xxxx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS DO ESTADO DE SÃO PAULO - FACESP,,9668,S,FACESP,Corrente,,,1173
161,ass,11779,2017/01,26,1  ,yyyy,xxxx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS DO ESTADO DE SÃO PAULO - FACESP,,9668,S,FACESP,Corrente,,,1175
162,ass,11779,2017/01,26,1  ,yyyy,xxxx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS DO ESTADO DE SÃO PAULO - FACESP,,9668,S,FACESP,Corrente,,,1176
163,ass,11779,2017/01,26,1  ,yyyy,xxxx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS DO ESTADO DE SÃO PAULO - FACESP,,9668,S,FACESP,Corrente,,,1178
164,ass,11779,2017/01,26,1  ,yyyy,xxxx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS DO ESTADO DE SÃO PAULO - FACESP,,9668,S,FACESP,Corrente,,,1179
165,ass,11779,2017/01,26,1  ,yyyy,xxxx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS DO ESTADO DE SÃO PAULO - FACESP,,9668,S,FACESP,Corrente,,,1180
166,ass,11779,2017/01,26,1  ,yyyy,xxxx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS DO ESTADO DE SÃO PAULO - FACESP,,9668,S,FACESP,Corrente,,,1181
167,ass,11779,2017/01,26,1  ,yyyy,xxxx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS DO ESTADO DE SÃO PAULO - FACESP,,9668,S,FACESP,Corrente,,,1182
168,ass,11779,2017/01,26,1  ,yyyy,xxxx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS DO ESTADO DE SÃO PAULO - FACESP,,9668,S,FACESP,Corrente,,,1183
169,ass,11779,2017/01,26,1  ,yyyy,xxxx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS DO ESTADO DE SÃO PAULO - FACESP,,9668,S,FACESP,Corrente,,,1184
170,ass,11779,2017/01,26,1  ,yyyy,xxxx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS DO ESTADO DE SÃO PAULO - FACESP,,9668,S,FACESP,Corrente,,,1188
171,ass,11779,2017/01,26,1  ,yyyy,xxxx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS DO ESTADO DE SÃO PAULO - FACESP,,9668,S,FACESP,Corrente,,,1192
172,ass,11779,2017/01,26,1  ,yyyy,xxxx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS DO ESTADO DE SÃO PAULO - FACESP,,9668,S,FACESP,Corrente,,,1193
173,ass,11779,2017/01,26,1  ,yyyy,xxxx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS DO ESTADO DE SÃO PAULO - FACESP,,9668,S,FACESP,Corrente,,,1194
174,ass,11612,2017/01,26,1  ,.,.,ASSOCIAÇÃO DAS EMPRESAS DE PEQUENO PORTE DA REGIÃO NORDESTE DO RS - MICROEMPA,,7566,S,MICROEMPA,Corrente,,,1237
175,ass,11612,2017/01,26,1  ,.,.,ASSOCIAÇÃO DAS EMPRESAS DE PEQUENO PORTE DA REGIÃO NORDESTE DO RS - MICROEMPA,,7566,S,MICROEMPA,Corrente,,,1240
176,ass,11612,2017/01,26,1  ,.,.,ASSOCIAÇÃO DAS EMPRESAS DE PEQUENO PORTE DA REGIÃO NORDESTE DO RS - MICROEMPA,,7566,S,MICROEMPA,Corrente,,,1241
177,ass,11612,2017/01,26,1  ,.,.,ASSOCIAÇÃO DAS EMPRESAS DE PEQUENO PORTE DA REGIÃO NORDESTE DO RS - MICROEMPA,,7566,S,MICROEMPA,Corrente,,,1242
178,ass,1790,2017/99,26,1  ,x,x,ASSOCIAÇÃO EMPRESARIAL DE SÃO MIGUEL DO OESTE,,8708,S,ACISMO,Corrente,,,1091
179,ass,1790,2017/99,26,1  ,x,x,ASSOCIAÇÃO EMPRESARIAL DE SÃO MIGUEL DO OESTE,,8708,S,ACISMO,Corrente,,,1092
180,ass,1790,2017/99,26,1  ,x,x,ASSOCIAÇÃO EMPRESARIAL DE SÃO MIGUEL DO OESTE,,8708,S,ACISMO,Corrente,,,1125
181,ass,2198,2017/01,26,1  ,xx,xx,ASSOCIAÇÃO EMPRESARIAL DE JARAGUÁ DO SUL,,8518,S,ACIJS,Corrente,,,1061
182,ass,2198,2017/01,26,1  ,xx,xx,ASSOCIAÇÃO EMPRESARIAL DE JARAGUÁ DO SUL,,8518,S,ACIJS,Corrente,,,1062
183,ass,11789,2017/01,26,1  ,xx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DO PARANÁ - FACIAP,,6015,S,FACIAP,Corrente,,,1133
184,ass,11789,2017/01,26,1  ,xx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DO PARANÁ - FACIAP,,6015,S,FACIAP,Corrente,,,1136
185,ass,11789,2017/01,26,1  ,xx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DO PARANÁ - FACIAP,,6015,S,FACIAP,Corrente,,,1137
186,ass,11789,2017/01,26,1  ,xx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DO PARANÁ - FACIAP,,6015,S,FACIAP,Corrente,,,1138
187,ass,11789,2017/01,26,1  ,xx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DO PARANÁ - FACIAP,,6015,S,FACIAP,Corrente,,,1139
188,ass,11789,2017/01,26,1  ,xx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DO PARANÁ - FACIAP,,6015,S,FACIAP,Corrente,,,1142
189,ass,11789,2017/01,26,1  ,xx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DO PARANÁ - FACIAP,,6015,S,FACIAP,Corrente,,,1150
190,ass,11789,2017/01,26,1  ,xx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DO PARANÁ - FACIAP,,6015,S,FACIAP,Corrente,,,1151
191,ass,11789,2017/01,26,1  ,xx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DO PARANÁ - FACIAP,,6015,S,FACIAP,Corrente,,,1155
192,ass,11789,2017/01,26,1  ,xx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DO PARANÁ - FACIAP,,6015,S,FACIAP,Corrente,,,1158
193,ass,11789,2017/01,26,1  ,xx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DO PARANÁ - FACIAP,,6015,S,FACIAP,Corrente,,,1160
194,ass,11789,2017/01,26,1  ,xx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DO PARANÁ - FACIAP,,6015,S,FACIAP,Corrente,,,1161
195,ass,11789,2017/01,26,1  ,xx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DO PARANÁ - FACIAP,,6015,S,FACIAP,Corrente,,,1162
196,ass,11789,2017/01,26,1  ,xx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DO PARANÁ - FACIAP,,6015,S,FACIAP,Corrente,,,2007
197,ass,11789,2017/01,26,1  ,xx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DO PARANÁ - FACIAP,,6015,S,FACIAP,Corrente,,,2008
198,ass,11789,2017/01,26,1  ,xx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DO PARANÁ - FACIAP,,6015,S,FACIAP,Corrente,,,2016
199,ass,11789,2017/01,26,1  ,xx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DO PARANÁ - FACIAP,,6015,S,FACIAP,Corrente,,,2017
200,ass,11789,2017/01,26,1  ,xx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DO PARANÁ - FACIAP,,6015,S,FACIAP,Corrente,,,2018
201,ass,11789,2017/01,26,1  ,xx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DO PARANÁ - FACIAP,,6015,S,FACIAP,Corrente,,,2019
202,ass,11789,2017/01,26,1  ,xx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DO PARANÁ - FACIAP,,6015,S,FACIAP,Corrente,,,2020
203,ass,11789,2017/01,26,1  ,xx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DO PARANÁ - FACIAP,,6015,S,FACIAP,Corrente,,,2021
204,ass,11789,2017/01,26,1  ,xx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DO PARANÁ - FACIAP,,6015,S,FACIAP,Corrente,,,2022
205,ass,11789,2017/01,26,1  ,xx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DO PARANÁ - FACIAP,,6015,S,FACIAP,Corrente,,,2023
206,ass,11789,2017/01,26,1  ,xx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DO PARANÁ - FACIAP,,6015,S,FACIAP,Corrente,,,2024
207,ass,11789,2017/01,26,1  ,xx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES COMERCIAIS E EMPRESARIAIS DO PARANÁ - FACIAP,,6015,S,FACIAP,Corrente,,,2026
208,ass,11794,2017/01,26,1  ,xx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES EMPRESARIAIS DE SANTA CATARINA - FACISC,,8452,S,FACISC,Corrente,,,1065
209,ass,11794,2017/01,26,1  ,xx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES EMPRESARIAIS DE SANTA CATARINA - FACISC,,8452,S,FACISC,Corrente,,,1066
210,ass,11794,2017/01,26,1  ,xx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES EMPRESARIAIS DE SANTA CATARINA - FACISC,,8452,S,FACISC,Corrente,,,1067
211,ass,11794,2017/01,26,1  ,xx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES EMPRESARIAIS DE SANTA CATARINA - FACISC,,8452,S,FACISC,Corrente,,,1070
212,ass,11794,2017/01,26,1  ,xx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES EMPRESARIAIS DE SANTA CATARINA - FACISC,,8452,S,FACISC,Corrente,,,1075
213,ass,11794,2017/01,26,1  ,xx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES EMPRESARIAIS DE SANTA CATARINA - FACISC,,8452,S,FACISC,Corrente,,,1079
214,ass,11794,2017/01,26,1  ,xx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES EMPRESARIAIS DE SANTA CATARINA - FACISC,,8452,S,FACISC,Corrente,,,1080
215,ass,11794,2017/01,26,1  ,xx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES EMPRESARIAIS DE SANTA CATARINA - FACISC,,8452,S,FACISC,Corrente,,,1081
216,ass,11794,2017/01,26,1  ,xx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES EMPRESARIAIS DE SANTA CATARINA - FACISC,,8452,S,FACISC,Corrente,,,1082
217,ass,11794,2017/01,26,1  ,xx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES EMPRESARIAIS DE SANTA CATARINA - FACISC,,8452,S,FACISC,Corrente,,,1086
218,ass,11794,2017/01,26,1  ,xx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES EMPRESARIAIS DE SANTA CATARINA - FACISC,,8452,S,FACISC,Corrente,,,1087
219,ass,11794,2017/01,26,1  ,xx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES EMPRESARIAIS DE SANTA CATARINA - FACISC,,8452,S,FACISC,Corrente,,,1089
220,ass,11794,2017/01,26,1  ,xx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES EMPRESARIAIS DE SANTA CATARINA - FACISC,,8452,S,FACISC,Corrente,,,1091
221,ass,11794,2017/01,26,1  ,xx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES EMPRESARIAIS DE SANTA CATARINA - FACISC,,8452,S,FACISC,Corrente,,,1092
222,ass,11794,2017/01,26,1  ,xx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES EMPRESARIAIS DE SANTA CATARINA - FACISC,,8452,S,FACISC,Corrente,,,1093
223,ass,11794,2017/01,26,1  ,xx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES EMPRESARIAIS DE SANTA CATARINA - FACISC,,8452,S,FACISC,Corrente,,,1096
224,ass,11794,2017/01,26,1  ,xx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES EMPRESARIAIS DE SANTA CATARINA - FACISC,,8452,S,FACISC,Corrente,,,1098
225,ass,11794,2017/01,26,1  ,xx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES EMPRESARIAIS DE SANTA CATARINA - FACISC,,8452,S,FACISC,Corrente,,,1101
226,ass,11794,2017/01,26,1  ,xx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES EMPRESARIAIS DE SANTA CATARINA - FACISC,,8452,S,FACISC,Corrente,,,1102
227,ass,11794,2017/01,26,1  ,xx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES EMPRESARIAIS DE SANTA CATARINA - FACISC,,8452,S,FACISC,Corrente,,,1104
228,ass,11794,2017/01,26,1  ,xx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES EMPRESARIAIS DE SANTA CATARINA - FACISC,,8452,S,FACISC,Corrente,,,1110
229,ass,11794,2017/01,26,1  ,xx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES EMPRESARIAIS DE SANTA CATARINA - FACISC,,8452,S,FACISC,Corrente,,,1112
230,ass,11794,2017/01,26,1  ,xx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES EMPRESARIAIS DE SANTA CATARINA - FACISC,,8452,S,FACISC,Corrente,,,1113
231,ass,11794,2017/01,26,1  ,xx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES EMPRESARIAIS DE SANTA CATARINA - FACISC,,8452,S,FACISC,Corrente,,,1115
232,ass,11794,2017/01,26,1  ,xx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES EMPRESARIAIS DE SANTA CATARINA - FACISC,,8452,S,FACISC,Corrente,,,1118
233,ass,11794,2017/01,26,1  ,xx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES EMPRESARIAIS DE SANTA CATARINA - FACISC,,8452,S,FACISC,Corrente,,,1119
234,ass,11794,2017/01,26,1  ,xx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES EMPRESARIAIS DE SANTA CATARINA - FACISC,,8452,S,FACISC,Corrente,,,1120
235,ass,11794,2017/01,26,1  ,xx,xx,FEDERAÇÃO DAS ASSOCIAÇÕES EMPRESARIAIS DE SANTA CATARINA - FACISC,,8452,S,FACISC,Corrente,,,1125
236,ass,11793,2017/01,26,1  ,0,0,Confederação das Associações Comerciais e Empresariais do Brasil,,1778,S,CACB,Corrente,,,171
237,ass,11793,2017/01,26,1  ,0,0,Confederação das Associações Comerciais e Empresariais do Brasil,,1778,S,CACB,Corrente,,,1001
238,ass,11793,2017/01,26,1  ,0,0,Confederação das Associações Comerciais e Empresariais do Brasil,,1778,S,CACB,Corrente,,,1002
239,ass,11793,2017/01,26,1  ,0,0,Confederação das Associações Comerciais e Empresariais do Brasil,,1778,S,CACB,Corrente,,,1007
240,ass,11793,2017/01,26,1  ,0,0,Confederação das Associações Comerciais e Empresariais do Brasil,,1778,S,CACB,Corrente,,,1017
241,ass,11793,2017/01,26,1  ,0,0,Confederação das Associações Comerciais e Empresariais do Brasil,,1778,S,CACB,Corrente,,,1024
242,ass,11793,2017/01,26,1  ,0,0,Confederação das Associações Comerciais e Empresariais do Brasil,,1778,S,CACB,Corrente,,,1025
243,ass,11793,2017/01,26,1  ,0,0,Confederação das Associações Comerciais e Empresariais do Brasil,,1778,S,CACB,Corrente,,,1028
244,ass,11793,2017/01,26,1  ,0,0,Confederação das Associações Comerciais e Empresariais do Brasil,,1778,S,CACB,Corrente,,,1030
245,ass,11793,2017/01,26,1  ,0,0,Confederação das Associações Comerciais e Empresariais do Brasil,,1778,S,CACB,Corrente,,,1036
246,ass,11793,2017/01,26,1  ,0,0,Confederação das Associações Comerciais e Empresariais do Brasil,,1778,S,CACB,Corrente,,,1037
247,ass,11793,2017/01,26,1  ,0,0,Confederação das Associações Comerciais e Empresariais do Brasil,,1778,S,CACB,Corrente,,,1042
248,ass,11793,2017/01,26,1  ,0,0,Confederação das Associações Comerciais e Empresariais do Brasil,,1778,S,CACB,Corrente,,,1044
249,ass,11793,2017/01,26,1  ,0,0,Confederação das Associações Comerciais e Empresariais do Brasil,,1778,S,CACB,Corrente,,,1052
250,ass,11793,2017/01,26,1  ,0,0,Confederação das Associações Comerciais e Empresariais do Brasil,,1778,S,CACB,Corrente,,,1053
251,ass,11793,2017/01,26,1  ,0,0,Confederação das Associações Comerciais e Empresariais do Brasil,,1778,S,CACB,Corrente,,,1059
252,ass,11793,2017/01,26,1  ,0,0,Confederação das Associações Comerciais e Empresariais do Brasil,,1778,S,CACB,Corrente,,,1061
253,ass,11793,2017/01,26,1  ,0,0,Confederação das Associações Comerciais e Empresariais do Brasil,,1778,S,CACB,Corrente,,,1062
254,ass,11793,2017/01,26,1  ,0,0,Confederação das Associações Comerciais e Empresariais do Brasil,,1778,S,CACB,Corrente,,,1064
255,ass,11793,2017/01,26,1  ,0,0,Confederação das Associações Comerciais e Empresariais do Brasil,,1778,S,CACB,Corrente,,,1065
256,ass,11793,2017/01,26,1  ,0,0,Confederação das Associações Comerciais e Empresariais do Brasil,,1778,S,CACB,Corrente,,,1066
257,ass,11793,2017/01,26,1  ,0,0,Confederação das Associações Comerciais e Empresariais do Brasil,,1778,S,CACB,Corrente,,,1067
258,ass,11793,2017/01,26,1  ,0,0,Confederação das Associações Comerciais e Empresariais do Brasil,,1778,S,CACB,Corrente,,,1070
259,ass,11793,2017/01,26,1  ,0,0,Confederação das Associações Comerciais e Empresariais do Brasil,,1778,S,CACB,Corrente,,,1075
260,ass,11793,2017/01,26,1  ,0,0,Confederação das Associações Comerciais e Empresariais do Brasil,,1778,S,CACB,Corrente,,,1079
261,ass,11793,2017/01,26,1  ,0,0,Confederação das Associações Comerciais e Empresariais do Brasil,,1778,S,CACB,Corrente,,,1080
262,ass,11793,2017/01,26,1  ,0,0,Confederação das Associações Comerciais e Empresariais do Brasil,,1778,S,CACB,Corrente,,,1081
263,ass,11793,2017/01,26,1  ,0,0,Confederação das Associações Comerciais e Empresariais do Brasil,,1778,S,CACB,Corrente,,,1082
264,ass,11793,2017/01,26,1  ,0,0,Confederação das Associações Comerciais e Empresariais do Brasil,,1778,S,CACB,Corrente,,,1086
265,ass,11793,2017/01,26,1  ,0,0,Confederação das Associações Comerciais e Empresariais do Brasil,,1778,S,CACB,Corrente,,,1087
266,ass,11793,2017/01,26,1  ,0,0,Confederação das Associações Comerciais e Empresariais do Brasil,,1778,S,CACB,Corrente,,,1089
267,ass,11793,2017/01,26,1  ,0,0,Confederação das Associações Comerciais e Empresariais do Brasil,,1778,S,CACB,Corrente,,,1091
268,ass,11793,2017/01,26,1  ,0,0,Confederação das Associações Comerciais e Empresariais do Brasil,,1778,S,CACB,Corrente,,,1092
269,ass,11793,2017/01,26,1  ,0,0,Confederação das Associações Comerciais e Empresariais do Brasil,,1778,S,CACB,Corrente,,,1093
270,ass,11793,2017/01,26,1  ,0,0,Confederação das Associações Comerciais e Empresariais do Brasil,,1778,S,CACB,Corrente,,,1096
271,ass,11793,2017/01,26,1  ,0,0,Confederação das Associações Comerciais e Empresariais do Brasil,,1778,S,CACB,Corrente,,,1098
272,ass,11793,2017/01,26,1  ,0,0,Confederação das Associações Comerciais e Empresariais do Brasil,,1778,S,CACB,Corrente,,,1101
273,ass,11793,2017/01,26,1  ,0,0,Confederação das Associações Comerciais e Empresariais do Brasil,,1778,S,CACB,Corrente,,,1102
274,ass,11793,2017/01,26,1  ,0,0,Confederação das Associações Comerciais e Empresariais do Brasil,,1778,S,CACB,Corrente,,,1104
