idprojeto,identidadeprop,data_inclusao,usuario_inclusao,data_atualizacao,usuario_alteracao,tipo_vinculo
570,3043,2022-06-28 14:04:44,Mluiza,2022-06-28 14:04:44,Mluiza,4
562,11789,2022-06-28 14:12:25,Mluiza,2022-06-28 14:12:25,Mluiza,1
562,2249,2022-06-28 14:12:25,Mluiza,2022-06-28 14:12:25,Mluiza,4
561,11789,2022-06-28 14:15:19,Mluiza,2022-06-28 14:15:19,Mluiza,1
561,2245,2022-06-28 14:15:19,Mluiza,2022-06-28 14:15:19,Mluiza,4
560,11789,2022-06-28 14:17:24,Mluiza,2022-06-28 14:17:24,Mluiza,1
560,2245,2022-06-28 14:17:24,Mluiza,2022-06-28 14:17:24,Mluiza,4
559,11789,2022-06-28 14:19:21,Mluiza,2022-06-28 14:19:21,Mluiza,1
559,3001,2022-06-28 14:19:21,Mluiza,2022-06-28 14:19:21,Mluiza,4
558,11789,2022-06-28 14:28:34,Mluiza,2022-06-28 14:28:34,Mluiza,1
558,3001,2022-06-28 14:28:34,Mluiza,2022-06-28 14:28:34,Mluiza,4
557,11794,2022-06-28 14:30:28,Mluiza,2022-06-28 14:30:28,Mluiza,1
557,2236,2022-06-28 14:30:28,Mluiza,2022-06-28 14:30:28,Mluiza,4
556,11794,2022-06-29 09:38:42,Mluiza,2022-06-29 09:38:42,Mluiza,1
556,2228,2022-06-29 09:38:42,Mluiza,2022-06-29 09:38:42,Mluiza,4
554,11763,2022-06-29 09:44:11,Mluiza,2022-06-29 09:44:11,Mluiza,1
554,2659,2022-06-29 09:44:11,Mluiza,2022-06-29 09:44:11,Mluiza,4
553,11763,2022-06-29 10:02:37,Mluiza,2022-06-29 10:02:37,Mluiza,1
553,2659,2022-06-29 10:02:37,Mluiza,2022-06-29 10:02:37,Mluiza,4
552,11763,2022-06-29 10:42:09,Mluiza,2022-06-29 10:42:09,Mluiza,1
552,2659,2022-06-29 10:42:09,Mluiza,2022-06-29 10:42:09,Mluiza,4
551,11763,2022-06-29 10:43:14,Mluiza,2022-06-29 10:43:14,Mluiza,1
551,2659,2022-06-29 10:43:14,Mluiza,2022-06-29 10:43:14,Mluiza,4
550,11794,2022-06-29 10:49:14,Mluiza,2022-06-29 10:49:14,Mluiza,1
550,2203,2022-06-29 10:49:14,Mluiza,2022-06-29 10:49:14,Mluiza,4
