idprojeto,nuacao,data,tipo_data,data_inclusao,usuario_inclusao,data_atualizacao,usuario_alteracao
2040,8,2023-02-01,np,2023-01-05 14:52:20,gabriel.g,2023-01-05 14:52:20,gabriel.g
2040,8,2023-12-31,fp,2023-01-05 14:52:20,gabriel.g,2023-01-05 14:52:20,gabriel.g
2040,9,2023-04-01,di,2022-11-25 15:31:15,gabriel.g,2022-11-25 15:31:15,gabriel.g
2040,9,2023-07-01,np,2023-01-05 14:53:31,gabriel.g,2023-01-05 14:53:31,gabriel.g
2040,9,2023-12-31,fp,2023-01-05 14:53:31,gabriel.g,2023-01-05 14:53:31,gabriel.g
2040,10,2022-10-01,di,2022-11-25 15:32:47,gabriel.g,2022-11-25 15:32:47,gabriel.g
2040,10,2023-02-01,np,2023-01-05 14:54:37,gabriel.g,2023-01-05 14:54:37,gabriel.g
2040,10,2024-01-31,fp,2023-01-06 11:06:11,gabriel.g,2023-01-06 11:06:11,gabriel.g
2040,10,2025-01-31,fp,2023-01-05 14:54:37,gabriel.g,2023-01-05 14:54:37,gabriel.g
2041,1,2023-02-01,di,2023-01-04 14:29:29,gabriel.g,2023-01-04 14:29:29,gabriel.g
2041,1,2023-02-15,np,2023-02-02 09:57:33,gabriel.g,2023-02-02 09:57:33,gabriel.g
2041,1,2023-08-15,fp,2023-02-02 09:57:33,gabriel.g,2023-02-02 09:57:33,gabriel.g
2041,1,2023-12-15,fp,2023-01-06 09:21:56,gabriel.g,2023-01-06 09:21:56,gabriel.g
2041,2,2023-02-01,di,2023-01-04 14:36:05,gabriel.g,2023-01-04 14:36:05,gabriel.g
2041,2,2023-02-15,np,2023-02-02 09:59:52,gabriel.g,2023-02-02 09:59:52,gabriel.g
2041,2,2023-08-31,fp,2023-02-02 09:59:52,gabriel.g,2023-02-02 09:59:52,gabriel.g
2042,1,2023-02-01,di,2023-01-04 15:06:12,gabriel.g,2023-01-04 15:06:12,gabriel.g
2042,1,2023-02-15,np,2023-02-02 10:04:20,gabriel.g,2023-02-02 10:04:20,gabriel.g
2042,1,2023-08-15,fp,2023-02-02 10:04:20,gabriel.g,2023-02-02 10:04:20,gabriel.g
2042,1,2023-12-15,fp,2023-01-06 09:19:52,gabriel.g,2023-01-06 09:19:52,gabriel.g
2042,2,2023-02-01,di,2023-01-04 15:10:37,gabriel.g,2023-01-04 15:10:37,gabriel.g
2042,2,2023-02-15,np,2023-02-02 10:06:27,gabriel.g,2023-02-02 10:06:27,gabriel.g
2042,2,2023-08-31,fp,2023-02-02 10:06:27,gabriel.g,2023-02-02 10:06:27,gabriel.g
2042,2,2023-09-30,fp,2023-02-02 10:07:52,gabriel.g,2023-02-02 10:07:52,gabriel.g
2043,1,2023-04-01,di,2023-01-04 15:33:05,gabriel.g,2023-01-04 15:33:05,gabriel.g
2043,1,2023-12-31,fp,2023-01-05 16:17:58,gabriel.g,2023-01-05 16:17:58,gabriel.g
2043,2,2023-02-01,di,2023-01-04 16:10:54,gabriel.g,2023-01-04 16:10:54,gabriel.g
2043,2,2023-12-31,fp,2023-01-05 16:18:36,gabriel.g,2023-01-05 16:18:36,gabriel.g
2043,3,2023-02-01,di,2023-01-04 16:16:52,gabriel.g,2023-01-04 16:16:52,gabriel.g
2043,3,2023-03-01,np,2023-01-05 16:19:16,gabriel.g,2023-01-05 16:19:16,gabriel.g
2043,3,2023-10-31,fp,2023-01-05 16:19:16,gabriel.g,2023-01-05 16:19:16,gabriel.g
2043,4,2023-02-01,di,2023-01-04 16:20:46,gabriel.g,2023-01-04 16:20:46,gabriel.g
2043,4,2023-03-01,np,2023-01-05 16:19:53,gabriel.g,2023-01-05 16:19:53,gabriel.g
2043,4,2023-07-31,fp,2023-01-05 16:19:53,gabriel.g,2023-01-05 16:19:53,gabriel.g
2043,5,2023-05-01,di,2023-01-04 16:35:53,gabriel.g,2023-01-04 16:35:53,gabriel.g
2043,5,2023-06-01,np,2023-01-05 16:20:29,gabriel.g,2023-01-05 16:20:29,gabriel.g
2043,5,2023-11-30,fp,2023-01-05 16:20:29,gabriel.g,2023-01-05 16:20:29,gabriel.g
2043,6,2023-02-01,di,2023-01-04 16:39:02,gabriel.g,2023-01-04 16:39:02,gabriel.g
2043,6,2023-10-31,fp,2023-01-05 16:21:04,gabriel.g,2023-01-05 16:21:04,gabriel.g
2043,7,2023-05-01,di,2023-01-04 16:41:51,gabriel.g,2023-01-04 16:41:51,gabriel.g
2043,7,2023-06-01,np,2023-01-05 16:21:35,gabriel.g,2023-01-05 16:21:35,gabriel.g
2043,7,2023-12-31,fp,2023-01-05 16:21:35,gabriel.g,2023-01-05 16:21:35,gabriel.g
2043,8,2023-02-01,di,2023-01-04 16:46:46,gabriel.g,2023-01-04 16:46:46,gabriel.g
2043,8,2024-01-31,fp,2023-01-05 16:22:03,gabriel.g,2023-01-05 16:22:03,gabriel.g
2044,1,2023-03-01,di,2023-01-04 17:07:51,gabriel.g,2023-01-04 17:07:51,gabriel.g
2044,1,2023-04-01,np,2023-01-06 09:15:58,gabriel.g,2023-01-06 09:15:58,gabriel.g
2044,1,2023-07-31,fp,2023-01-06 09:15:58,gabriel.g,2023-01-06 09:15:58,gabriel.g
2044,2,2023-02-01,di,2023-01-04 17:11:41,gabriel.g,2023-01-04 17:11:41,gabriel.g
2044,2,2023-07-31,fp,2023-01-06 09:16:32,gabriel.g,2023-01-06 09:16:32,gabriel.g
2044,3,2023-04-01,di,2023-01-05 09:31:14,gabriel.g,2023-01-05 09:31:14,gabriel.g
2044,3,2023-05-01,np,2023-01-06 09:17:13,gabriel.g,2023-01-06 09:17:13,gabriel.g
2044,3,2023-12-31,fp,2023-01-06 09:17:13,gabriel.g,2023-01-06 09:17:13,gabriel.g
2044,4,2023-02-01,di,2023-01-05 09:36:16,gabriel.g,2023-01-05 09:36:16,gabriel.g
2044,4,2024-01-15,fp,2023-01-06 09:17:47,gabriel.g,2023-01-06 09:17:47,gabriel.g
2044,5,2023-06-01,di,2023-01-05 09:40:02,gabriel.g,2023-01-05 09:40:02,gabriel.g
2044,5,2023-07-01,np,2023-01-06 09:18:17,gabriel.g,2023-01-06 09:18:17,gabriel.g
2044,5,2023-12-31,fp,2023-01-06 09:18:17,gabriel.g,2023-01-06 09:18:17,gabriel.g
