id,idprojeto,nome,descricao,tipo_dado,tipo_controle,valor_esperado,forma_verificacao,data_inclusao,usuario_inclusao,data_atualizacao,usuario_alteracao,iddocsobrigatorios,comentario
76,83,Resultado Finalístico 1,Elevar o faturamento em 10% até o final do projeto,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
77,1032,Resultado Finalístico 1,Com esse projeto queremos o aumento de lucratividade das empresas participantes em média de 7% ao ano,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
78,180,Resultado Finalístico 1,Formar 2 núcleos setoriais e cadastrar as empresas nucleadas no Portal do Empreender com seus respectivos planos de ações.,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
79,69,Resultado Finalístico 1,Promover a melhoria de pelo menos 2 processos empresariais nas empresas participantes até o final do projeto,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
80,1033,Resultado Finalístico 1,Com esse projeto queremos o aumento de lucratividade das empresas participantes em média de 8% ao ano,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
81,18,Resultado Finalístico 1,Aumentar em 10% a quantidade de postos de trabalho nas empresas participantes até o fim do projeto (março/2015);,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
82,16,Resultado Finalístico 1,Aumentar em 10% a quantidade de postos de trabalho nas empresas participantes até o fim do projeto (março/2015);,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
83,22,Resultado Finalístico 1,Aumentar o número de ofertas de imóveis em 25% até 2015,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
84,1034,Resultado Finalístico 1,"100% dos empresários do Núcleo Pólo Industrial, com visão ampliada e encorajados para buscar novos parceiros e mercados",,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
85,1035,Resultado Finalístico 1,Aumentar em 10% o faturamento das empresas nucleadas até dezembro de 2019,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
86,64,Resultado Finalístico 1,Aumentar em 8% a quantidade de postos de trabalho nas empresas participantes até o fim do projeto;,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
87,12,Resultado Finalístico 1,Aumentar em 25% números de negócios executados pelas empresas até  2015,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
88,19,Resultado Finalístico 1,Aumentar em 8% a quantidade de postos de trabalho nas empresas participantes até fevereiro de 2015.,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
89,20,Resultado Finalístico 1,Aumentar em 20% o número de clientes;,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
90,1038,Resultado Finalístico 1,Melhoria de dois processos até a conclusão do projeto,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
91,1039,Resultado Finalístico 1,Aumentar em 10% a carteira geral de clientes até o final do projeto,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
92,1040,Resultado Finalístico 1,"Auto sustentabilidade, visando o aumento da produtividade, divulgação e comercialização, em 50%",,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
93,58,Resultado Finalístico 1,Aumentar em 20% a taxa de ocupação até o final do projeto,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
94,25,Resultado Finalístico 1,Realizar parceria com 7 novos fornecedores de produtos até fevereiro de 2015;,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
95,14,Resultado Finalístico 1,"Aumentar a produtividade em 40% nas empresas participantes, até o final do projeto( Julho 2015)",,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
96,1041,Resultado Finalístico 1,"Auto sustentabilidade das artesãs, visando o aumento da produtividade divulgação e comercialização, em 50%",,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
97,47,Resultado Finalístico 1,"Aumentar em 20% o faturamento das empresas
participantes até o final do projeto.",,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
98,31,Resultado Finalístico 1,Aumentar em 20% o faturamento das empresas participantes ate final do projeto.,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
99,77,Resultado Finalístico 1,Aumentar o número de projetos de pesquisa e desenvolvimento dentro das empresas em 20% no decorrer do projeto,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
100,23,Resultado Finalístico 1,Aumentar em 25% números de negócios executados pelas empresas até  2015,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
101,87,Resultado Finalístico 1,Aumentar em 15% o faturamento das empresas participantes até o final do projeto.,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
102,85,Resultado Finalístico 1,Aumentar em 15% o faturamento das empresas participantes até o final do projeto.,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
103,46,Resultado Finalístico 1,Aumentar em 15% o faturamento das empresas participantes até o final do projeto.,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
104,27,Resultado Finalístico 1,Aumentar em 15% o faturamento das empresas participantes até o final do projeto.,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
105,39,Resultado Finalístico 1,Aumentar em 15% o faturamento das empresas participantes até o final do projeto.,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
106,38,Resultado Finalístico 1,Aumentar em 15% o faturamento das empresas participantes até o final do projeto.,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
107,26,Resultado Finalístico 1,Aumentar em 15% o faturamento das empresas participantes até o final do projeto.,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
108,35,Resultado Finalístico 1,Aumentar em 15% o faturamento das empresas participantes até o final do projeto.,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
109,45,Resultado Finalístico 1,Aumentar em 20% o faturamento das empresas participantes até o final do projeto.,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
110,44,Resultado Finalístico 1,Aumentar em 20% o faturamento das empresas participantes até o final do projeto.,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
111,8,Resultado Finalístico 1,"Incrementar em 5% a quantidade de pessoas ocupadas nas empresas
até o fim do projeto",,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
112,2,Resultado Finalístico 1,Aumentar em 20% faturamento das empresas participantes até o fim do projeto,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
113,29,Resultado Finalístico 1,Aumentar em 10% o faturamento das empresas participantes até o fim do projeto.,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
114,76,Resultado Finalístico 1,Aumentar o faturamento em 8% até 2015,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
115,41,Resultado Finalístico 1,Aumentar em 15% o faturamento das empresas participantes até o fim do projeto.,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
116,1141,Resultado Finalístico 1,"""Obter 80% dos participantes do projeto utilizando ferramentas básicas de gestão até dez/2019 ( linha 93 do quadro de indicador do sigeor)",,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
117,1043,Resultado Finalístico 1,"Aumento no número de eventos captados para o destino turístico, em 10% durante o projeto, sendo 5% em 2018, 10% em 2019",,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
